,PLExp,URef,IECturbc,TwrBsMyt_[kN-m] max,TwrBsMyt_[kN-m] stddev,TwrBsMyt_[kN-m] ST_DEL,RootMyb1_[kN-m] mean,RootMyb1_[kN-m] max,RootMyb1_[kN-m] stddev,RootMyb1_[kN-m] ST_DEL,RootMxb1_[kN-m] mean,RootMxb1_[kN-m] max,RootMxb1_[kN-m] stddev,RootMxb1_[kN-m] ST_DEL,YawBrMyn_[kN-m] mean,YawBrMyn_[kN-m] max,YawBrMyn_[kN-m] stddev,YawBrMyn_[kN-m] ST_DEL
1739,1.2630925917997955,6.749084681272507,29.70420070923865,146796.61848254362,17657.930783850552,21755.949924182623,18203.831452288174,39411.46535474079,8416.267392504345,21744.95426934134,1694.6436024203208,19757.619794296475,10209.1850494496,21406.910282489745,-47440.64555755038,-20570.6800519573,3500.420569977593,3968.245396408286
1740,0.3450670844875276,14.080260057002306,8.476834651082754,136064.48049229113,9586.630164316884,11733.007417054036,19183.452178911015,37292.46719690791,6257.621724208722,12506.97495312537,151.44887818235657,15911.602649178029,9694.114220113668,20201.43146619835,-38966.23238644826,-31061.255217334237,2022.7533955038577,2419.132553103469
1741,1.1057129054330288,8.877001624554396,20.871792174875736,147316.6479514207,16210.298683234512,21612.471528880484,25153.932994433897,46778.457042540256,8695.998542773732,25003.363722919195,2497.6401530147136,20422.80297790284,10706.212039941154,22561.27228065427,-30456.91489256214,-18399.437132925006,2695.746701400057,2806.8925280533167
1742,0.6656976420432328,4.505118612200022,85.41300720535219,108966.62131500457,54729.04894308817,64129.78236961493,10212.53270376195,28390.09527696732,6869.149360995883,11773.723917414758,917.5584472874757,20436.6060365917,9686.487058261866,19953.16934756388,-44822.38280118503,-25544.635688747072,5135.795909610235,4681.316334226924
1743,-0.1576830688863992,7.772025965154171,36.49132722057402,151885.92863646714,20337.143718230294,27714.0922399022,24499.27196543406,37317.868485385836,5883.70664519821,15715.634544694918,1932.3045918922853,19554.378414740004,9350.539018472475,20206.05738082491,-49637.7627382352,-36679.33190030963,4058.4685206176005,4480.14524052789
1744,1.9359130210243165,4.650622770190239,82.09941862151027,133750.70654934546,54461.62857226665,64235.45252023256,14093.753770954549,42665.93370013388,11960.540449718472,19541.93008597041,991.7333036265094,20870.22478224499,10089.192102577086,22019.198503480544,-38284.23131879497,-24483.605883881635,5863.495228303065,5799.258475464165
1745,0.0649366747587918,11.874021623283625,3.807013481855393,131582.5993766879,10316.036107966482,6700.921499154274,25444.550541669534,33138.74142563187,2513.6926002024743,4841.7446366900585,2167.6740016178182,16695.017743005563,9615.457561735673,19883.992400756866,-46064.47993647367,-42591.60466700006,1238.1557017449786,1066.825517067482
1746,1.97334795827046,4.371536090970039,59.14745070040226,105343.00733520453,42890.27234701713,34573.055148341984,11316.49243721502,36681.48436583924,10962.471318616972,19238.38966812467,1417.1919762839634,18145.189954159046,9891.454132862122,20568.501549126657,-34672.79984638516,-24989.265563234076,3671.0075070146268,4267.495900463493
1747,-0.1316260285675525,5.150997243821621,31.582007836550478,49869.136331201924,15521.603322204957,23222.756359869214,9854.079219383739,24906.29347361019,4345.530015159764,7725.480510487821,957.2929595350732,15814.703507479679,9409.285713369356,19007.77429484594,-50296.67135363845,-40239.21067747178,2542.1391765079734,2032.0189245063048
1748,0.6628078518435359,16.707981877028942,12.287048064172268,107559.5567231436,11313.862137339527,18267.289262404716,14494.868576229468,40998.72397164764,11502.835025929102,27393.84412798816,-204.02573478378656,16918.086971048822,9415.880540330649,19862.183587520038,-27486.411767729172,-16786.956177828997,3156.406969682319,3371.3578480872507
1749,0.8599947783164679,4.048618000000715,23.57976785860956,574.1457458025398,24429.443120022603,17492.829733396327,7749.881367375747,11655.846283701427,3477.030722939048,5694.757574140578,510.5224571842884,15587.001654311412,9534.197383586228,18873.935108334084,-44839.395201663996,-42884.51189571263,1843.561858361215,-256.6739459082751
1750,1.2863069197162984,6.325298339128494,33.43699453398585,112376.48564710285,21390.941804017446,21371.485386380446,20246.893452335662,37650.32248019582,7846.82816752458,20051.267130174107,1665.6305496743075,19159.262403594857,10246.21317489246,21184.966074952332,-36080.65661614933,-22058.893339121278,4144.169740379502,3746.655397986479
1751,0.016190216038376,5.554966438561678,21.552829211577773,82378.33013344587,17744.96005208863,15959.62016880541,11585.291186979439,18918.35118528291,2690.203702692114,7062.6536925685505,899.8734851514976,15922.12360241699,9564.448195131836,19408.158181567636,-49583.271338015096,-43041.547061564794,2136.182017234716,1911.4049931527377
1752,0.6495089224539696,5.667330097407103,37.26289398036897,159420.5434496022,17016.85372328675,20543.409686816147,12822.512356088682,17780.24096094502,6094.642121662109,13088.19097507559,767.9927137961575,17871.5957718336,9799.053254329423,19761.34452139888,-42674.366720669015,-32931.955117568985,3785.573507180643,3044.681428951153
1753,0.7693866170942782,9.392440278083086,22.40595677867532,160145.3602200357,24877.373191618168,22800.449483015254,24605.2216122139,46966.40341699752,7904.693611298649,18858.292224497163,2376.4760253843424,20885.204001522692,10246.599236968925,21708.16507895788,-33235.23109560838,-20368.429435575923,3790.794929962334,3878.610971662483
1754,1.1605903272517024,6.894622981548309,40.255549270659685,143928.22544117563,14866.45282881156,28429.79536672562,20628.81342464016,46249.554745991074,8252.035342463812,21016.732051511528,2172.593474845952,22092.339188908158,9973.221431342023,21423.284523405804,-47678.631660334184,-14910.531610785272,5066.627632426245,4886.563622004081
1755,0.39309005998075,7.708492107689381,12.680941633880138,104353.70481144248,5825.18287437401,9655.551695499915,25014.466790104452,29914.19469755628,3904.7603486828552,10170.285707293897,1917.8767261919552,17486.152579513015,9787.920560868506,21022.06414590176,-43080.74648674829,-36761.86074720188,1811.3152340823794,2115.908672136735
